customer_name,state,product_category,total_amount
Emeka Obiora,Oyo,Home & Kitchen,35067.0
Rukayat Obiora,anambra,Home & Kitchen,47676.0
Segun Chukwu,KANO,Fashion,80190.0
Ifeanyi Obiora,delta,Electronics,104930.0
Chidi Salami,enugu,Fashion,96036.0
Tunde Adeyemi,ABUJA,Home & Kitchen,285000.0
Musa Usman,Lagos,Electronics,173730.0
Halima Usman,RIVERS,Fashion,59560.0
Ngozi Okafor,Oyo,Electronics,86528.0
Ngozi Salami,anambra,Fashion,41844.0
Ibrahim Adeyemi,ENUGU,Electronics,83098.0
Rukayat Nwosu,lagos,Home & Kitchen,66216.0
Emeka Garba,OGUN,Beauty & Health,31803.0
Chukwuemeka Chukwu,ogun,Fashion,71652.0
Chidi Eze,ENUGU,Fashion,38192.0
Kemi Lawal,Ogun,Electronics,46251.0
Tunde Musa,Delta,Electronics,54066.0
Zainab Nwachukwu,ABUJA,Electronics,35360.0
Amina Okafor,Oyo,Beauty & Health,34570.0
Halima Eze,Anambra,Electronics,98492.0
Halima Nwachukwu,Lagos,Electronics,136045.0
Chukwuemeka Abubakar,Kano,Home & Kitchen,95045.0
Damilola Chukwu,Rivers,Home & Kitchen,97488.0
Tunde Mohammed,Kano,Food & Drinks,32370.0
Chidi Eze,ogun,Beauty & Health,32620.0
Segun Salami,OYO,Home & Kitchen,52986.0
Segun Bello,anambra,Home & Kitchen,144835.0
Fatima Nwosu,Kano,Fashion,51065.0
Obinna Usman,Abuja,Home & Kitchen,43230.0
Chioma Ogundipe,ANAMBRA,Home & Kitchen,312000.0
Chukwuemeka Okonkwo,Rivers,Beauty & Health,49815.0
Chioma Yusuf,OYO,Electronics,43068.0
Tunde Obiora,KADUNA,Fashion,60942.0
Oluwaseun Ogundipe,Kano,Electronics,132009.0
Obinna Abubakar,rivers,Home & Kitchen,91122.0
Oluwaseun Garba,abuja,Fashion,75284.0
Babatunde Nwosu,Oyo,Fashion,84890.0
Ngozi Chukwu,abuja,Beauty & Health,66420.0
Chioma Adeleke,ANAMBRA,Electronics,68625.0
Halima Ogundipe,Anambra,Fashion,47170.0
Babatunde Adeyemi,oyo,Fashion,50583.0
Tunde Obiora,lagos,Fashion,76872.0
Chioma Nwosu,Rivers,Home & Kitchen,97105.0
Yusuf Abubakar,lagos,Home & Kitchen,40648.0
Obinna Obi,Lagos,Beauty & Health,31572.0
Tunde Garba,KADUNA,Fashion,114645.0
Damilola Musa,KADUNA,Beauty & Health,38943.0
Ngozi Garba,Lagos,Electronics,41430.0
Ifeanyi Okafor,KANO,Electronics,175196.0
Damilola Lawal,lagos,Electronics,86220.0
Oluwaseun Obi,Oyo,Home & Kitchen,37776.0
Adaeze Yusuf,rivers,Electronics,80918.0
Adaeze Salami,Ogun,Electronics,142608.0
Damilola Lawal,Kaduna,Fashion,65298.0
Chioma Mohammed,rivers,Electronics,64468.0
Tunde Okafor,Enugu,Beauty & Health,61100.0
Blessing Salami,ANAMBRA,Home & Kitchen,44930.0
Aisha Okonkwo,Anambra,Beauty & Health,68865.0
Aisha Adeleke,kano,Beauty & Health,69248.0
Nneka Adeyemi,Delta,Electronics,137710.0
Emeka Lawal,RIVERS,Home & Kitchen,53120.0
Obinna Okafor,Kano,Electronics,44537.0
Babatunde Nwosu,Abuja,Home & Kitchen,53208.0
Zainab Eze,lagos,Food & Drinks,36070.0
Babatunde Yusuf,enugu,Fashion,32664.0
Zainab Ogundipe,Delta,Fashion,59790.0
Chioma Adeleke,delta,Electronics,66232.0
Zainab Obi,oyo,Electronics,159736.0
Oluwaseun Mohammed,OGUN,Electronics,65120.0
Fatima Okafor,Delta,Beauty & Health,40244.0
Yusuf Bello,abuja,Beauty & Health,33264.0
Emeka Garba,Ogun,Electronics,50910.0
Ibrahim Musa,kaduna,Electronics,135912.0
Aisha Eze,Ogun,Beauty & Health,37401.0
Aisha Usman,kano,Fashion,70053.0
Segun Nwosu,delta,Home & Kitchen,137635.0
Segun Ogundipe,oyo,Electronics,41745.0
Chidi Okonkwo,DELTA,Fashion,51596.0
Ngozi Nwosu,abuja,Home & Kitchen,95778.0
Yusuf Nwosu,Delta,Home & Kitchen,123196.0
Ifeanyi Ogundipe,KADUNA,Fashion,61065.0
Emeka Nwosu,Kano,Home & Kitchen,43017.0
Segun Nwachukwu,Kano,Beauty & Health,76910.0
Ifeanyi Adeleke,Anambra,Food & Drinks,39585.0
Oluwaseun Okonkwo,Abuja,Home & Kitchen,94085.0
Nneka Okafor,RIVERS,Electronics,77512.0
Babatunde Yusuf,Lagos,Electronics,120222.0
Chidi Obi,OYO,Fashion,85570.0
Damilola Yusuf,RIVERS,Home & Kitchen,107660.0
Nneka Nwosu,Kaduna,Home & Kitchen,100242.0
Chidi Bello,enugu,Beauty & Health,83345.0
Rukayat Bello,kano,Fashion,102700.0
Chidi Eze,Delta,Electronics,37668.0
Kemi Nwachukwu,Ogun,Electronics,172996.0
Yusuf Obi,Rivers,Electronics,148755.0
Rukayat Chukwu,Rivers,Electronics,106568.0
Aisha Usman,ogun,Home & Kitchen,38913.0
Ibrahim Mohammed,RIVERS,Home & Kitchen,36476.0
Halima Obiora,Abuja,Electronics,111304.0
Aisha Salami,OGUN,Fashion,35592.0
Kemi Bello,rivers,Home & Kitchen,58248.0
Fatima Obiora,Delta,Home & Kitchen,43968.0
Chidi Yusuf,Anambra,Beauty & Health,80800.0
Nneka Okafor,Lagos,Fashion,52122.0
Babatunde Garba,enugu,Home & Kitchen,37468.0
Zainab Nwosu,Rivers,Fashion,34200.0
Chukwuemeka Okonkwo,Kaduna,Electronics,99068.0
Nneka Nwachukwu,KANO,Home & Kitchen,104070.0
Ngozi Lawal,Abuja,Electronics,30414.0
Fatima Obi,Anambra,Fashion,112450.0
